Position,Days,PnL
AALBERTS INDUSTRIES,32,0.8
AALBERTS INDUSTRIES,9,-16
ABBOTT LABORATORIES CMN,45,8.28
ACCENTURE PLC CMN,21,-5.57
ACS ACTIVIDADES DE CONST.Y SERVICIOS SA,30,12.14
ACS ACTIVIDADES DE CONST.Y SERVICIOS SA RIGHTS,13,100
ACUITY BRANDS INC,65,-3.01
ADECCO SA,13,-12.16
ADOBE SYSTEMS INC,15,0.16
AIRGAS INC,2,-12.25
ALASKA AIR GROUP INC,10,5.89
ALFA LAVAL AB,12,-1.1
ALFA LAVAL AB,60,4.74
ALLIANCE DATA SYSTEMS CORP,10,-3.78
AMEREN CORPORATION CMN,5,4.05
AMERICAN ELECTRIC POWER CO INC,43,17.05
AMERISOURCEBERGEN CORPORATION CMN,30,6.9
AMETEK INC,26,-13.11
AMS AG EQ,3,12.73
AMS AG EQ,19,-6.64
