Date,SP500,SP500Value,SP500Momentum,SP500Growth
1/3/17,4315.08,4720.28,938.47,3016.4
1/4/17,4340.75,4747.46,941.48,3034.86
1/5/17,4337.45,4728.99,944.44,3041.01
1/6/17,4354.05,4736.55,946.29,3058.65
1/9/17,4338.62,4705.46,943.36,3055.94
1/10/17,4338.64,4708.81,941.7,3054.07
1/11/17,4351.32,4725.82,942.86,3061.14
1/12/17,4342.09,4711.32,943.33,3057.2
1/13/17,4350.11,4718.35,944.45,3063.79
1/17/17,4337.2,4696.73,946.86,3059.04
1/18/17,4345.57,4704.76,947.62,3065.52
1/19/17,4329.96,4680.02,945.69,3058.98
1/20/17,4344.67,4697.41,947.79,3068.52
1/23/17,4333.1,4676.22,950.01,3065.3
1/24/17,4361.56,4713.36,950.01,3081.77
1/25/17,4396.57,4755.08,954.11,3104.29
1/26/17,4393.43,4749.11,953.68,3103.54
1/27/17,4389.85,4733.89,956.33,3107.48
1/30/17,4363.67,4705.63,952.02,3088.96
1/31/17,4359.81,4708.19,952.04,3082.41
