Sector,Net Port Weight%,Bench Weight%,Bench Sector Weight,Bench Sector Return,Portfolio Sector Weight (Long)%,Portfolio Sector Weight (Short)%,Porfolio Return Long,Portfolio Return Short
Consumer Discretionary,2.3300,12.1500,12.1461,0.0049,14.6369,-12.3063,-0.0040,0.0023
Consumer Staples,0.5600,9.3300,9.3314,0.0019,2.1062,-1.5497,0.0056,0.0050
Energy,1.6300,5.8800,5.8823,0.0055,1.6256,0.0000,-0.0010,0.0000
Financials,11.3200,18.0000,18.0013,0.0036,11.3228,0.0000,0.0035,0.0000
Health Care,0.1100,12.2900,12.2863,0.0152,3.3389,-3.2260,0.0200,0.0148
Industrials,9.9000,11.3400,11.3399,0.0057,9.9039,0.0000,0.0034,0.0000
Information Technology,13.2600,16.0800,16.0780,0.0075,13.2650,0.0000,0.0106,0.0000
Materials,4.7900,5.0700,5.0681,0.0070,6.3528,-1.5617,-0.0006,-0.0001
Real Estate,4.7900,3.2300,3.2299,0.0063,4.7938,0.0000,0.0037,0.0000
Telecommunication Services,0.0000,2.9800,2.9783,0.0014,0.0000,0.0000,0.0000,0.0000
Utilities,13.2700,3.3100,3.3122,0.0020,13.2654,0.0000,0.0010,0.0000
